seq_num, beacon_timestamp, beacon_interval, timestamp_deviation
2016,899396508001,102980,-580
2019,899396814038,100606,1794
2020,899396917842,103804,-1404
2021,899397017987,100145,2255
2022,899397123391,105404,-3004
2023,899397222787,99396,3004
2024,899397328154,105367,-2967
2025,899397430436,102282,118
2026,899397531279,100843,1557
2030,899397943445,106026,-3626
2034,899398352482,105577,-3177
2035,899398454459,101977,423
2036,899398556808,102349,51
2039,899398862652,100355,2045
2040,899398969068,106416,-4016
2041,899399069187,100119,2281
2044,899399375178,101107,1293
2045,899399478224,103046,-646
2046,899399581014,102790,-390
2047,899399680387,99373,3027
2048,899399782787,102400,0
2049,899399885187,102400,0
2050,899399987587,102400,0
2051,899400089987,102400,0
2054,899400405664,105545,-3145
2055,899400503216,97552,4848
2056,899400601987,98771,3629
2059,899400913426,104277,-1877
2066,899401625987,101649,751
2069,899401933283,102496,-96
2070,899402035587,102304,96
2071,899402142331,106744,-4344
2074,899402445288,102501,-101
2075,899402550221,104933,-2533
2079,899402957187,102400,0
2080,899403061337,104150,-1750
2083,899403369813,105426,-3026
2084,899403469187,99374,3026
2085,899403571587,102400,0
2086,899403676629,105042,-2642
2089,899403983620,104833,-2433
2090,899404084938,101318,1082
2091,899404190156,105218,-2818
2094,899404497884,104733,-2333
2095,899404595587,97703,4697
2096,899404699518,103931,-1531
2100,899405111354,102453,-53
2101,899405212051,100697,1703
2102,899405316133,104082,-1682
2103,899405415596,99463,2937
2104,899405520895,105299,-2899
2105,899405623173,102278,122
2106,899405725621,102448,-48
2107,899405825935,100314,2086
2108,899405928649,102714,-314
2109,899406030282,101633,767
2110,899406135328,105046,-2646
2111,899406236529,101201,1199
2112,899406339789,103260,-860
2113,899406440372,100583,1817
2114,899406541187,100815,1585
2115,899406643587,102400,0
2116,899406746757,103170,-770
2117,899406853217,106460,-4060
2118,899406951900,98683,3717
2121,899407257987,102369,31
2122,899407360387,102400,0
2123,899407465748,105361,-2961
2126,899407769987,101714,686
2130,899408179587,100718,1682
2131,899408281987,102400,0
2132,899408384387,102400,0
2133,899408487957,103570,-1170
2134,899408593061,105104,-2704
2135,899408691587,98526,3874
2136,899408794828,103241,-841
2141,899409306030,102443,-43
2142,899409408387,102357,43
2143,899409515414,107027,-4627
2144,899409617595,102181,219
2145,899409717897,100302,2098
2146,899409819946,102049,351
2147,899409920387,100441,1959
2148,899410022787,102400,0
2149,899410125187,102400,0
2150,899410227587,102400,0
2151,899410330977,103390,-990
2154,899410640411,105607,-3207
2158,899410946825,104684,-2284
2159,899411051422,104597,-2197
2169,899411763587,102400,0
2172,899411969684,103294,-894
2173,899412070812,101128,1272
2174,899412173187,102375,25
2177,899412480387,102400,0
2178,899412582787,102400,0
2179,899412687642,104855,-2455
2180,899412805833,118191,-15791
2181,899412889987,84154,18246
