time_interval_authentication (us),time_interval_association (us),time_interval_eapol_first (us),time_interval_eapol_second (us)
21734.237670898438,42335.98709106445,200200.08087158203,393557.5485229492
12059.211730957031,25875.568389892578,147838.59252929688,239582.06176757812
11060.237884521484,31278.133392333984,123767.85278320312,316402.9121398926
11680.126190185547,22070.40786743164,227024.55520629883,232832.4317932129
70943.83239746094,11022.090911865234,381045.3414916992,380718.7080383301
20701.885223388672,12969.970703125,149102.21099853516,200355.05294799805
18012.523651123047,36449.432373046875,363373.7564086914,213088.9892578125
12948.51303100586,10125.63705444336,183465.48080444336,149192.81005859375
22068.023681640625,21903.514862060547,163626.67083740234,197210.31188964844
10285.377502441406,30968.189239501953,133883.95309448242,201468.46771240234
10757.4462890625,29315.948486328125,556824.2073059082,189671.51641845703
103797.91259765625,113797.18780517578,87389.94598388672,200021.26693725586
10263.919830322266,27618.408203125,459370.61309814453,174505.71060180664
12259.483337402344,12960.433959960938,151941.77627563477,140192.50869750977
24952.88848876953,17099.380493164062,125088.69171142578,141029.35791015625
8943.08090209961,17507.076263427734,541350.8415222168,234594.34509277344
9038.448333740234,17449.85580444336,176937.58010864258,291826.7250061035
8518.695831298828,16021.728515625,473322.86834716797,200240.6120300293
35.762786865234375,23298.263549804688,771665.5731201172,191042.42324829102
198373.79455566406,17585.75439453125,967395.3056335449,257627.9640197754
13475.418090820312,39014.81628417969,96726.4175415039,170559.88311767578
52.45208740234375,16.689300537109375,165958.40454101562,425212.3832702637
43220.52001953125,11060.237884521484,854985.7139587402,418291.0919189453
8411.407470703125,17445.087432861328,125865.93627929688,172238.34991455078
9162.425994873047,20554.065704345703,88779.92630004883,151367.1875
607879.1618347168,17900.466918945312,171608.92486572266,208144.1879272461
15761.852264404297,21352.767944335938,128297.80578613281,156292.91534423828
8802.413940429688,20213.12713623047,122091.77017211914,244514.94216918945
